State,Date,Region,Active Cases
Kedah,4/10/2020,Langkawi,4
Kedah,4/10/2020,Bandar Baharu,0
Kedah,4/10/2020,Sik,1
Kedah,4/10/2020,Yan,0
Kedah,5/10/2020,Kuala Muda,6
Kedah,5/10/2020,Kota Setar,679
Kedah,5/10/2020,Kubang Pasu,19
Kedah,5/10/2020,Kulim,3
Kedah,5/10/2020,Pendang,1
Kedah,5/10/2020,Baling,6
Kedah,5/10/2020,Padang Terap,0
Kedah,5/10/2020,Langkawi,4
Kedah,5/10/2020,Bandar Baharu,0
Kedah,5/10/2020,Sik,1
Kedah,5/10/2020,Yan,0
Kedah,6/10/2020,Kuala Muda,8
Kedah,6/10/2020,Kota Setar,1053
Kedah,6/10/2020,Kubang Pasu,22
Kedah,6/10/2020,Kulim,3
Kedah,6/10/2020,Pendang,2
Kedah,6/10/2020,Baling,7
Kedah,6/10/2020,Padang Terap,0
Kedah,6/10/2020,Langkawi,4
Kedah,6/10/2020,Bandar Baharu,0
Kedah,6/10/2020,Sik,1
Kedah,6/10/2020,Yan,2
Kedah,7/10/2020,Kuala Muda,6
Kedah,7/10/2020,Kota Setar,1200
Kedah,7/10/2020,Kubang Pasu,35
Kedah,7/10/2020,Kulim,4
Kedah,7/10/2020,Pendang,2
Kedah,7/10/2020,Baling,6
Kedah,7/10/2020,Padang Terap,0
Kedah,7/10/2020,Langkawi,4
Kedah,7/10/2020,Bandar Baharu,0
Kedah,7/10/2020,Sik,1
Kedah,7/10/2020,Yan,0
Kedah,8/10/2020,Kuala Muda,6
Kedah,8/10/2020,Kota Setar,1211
Kedah,8/10/2020,Kubang Pasu,36
Kedah,8/10/2020,Kulim,4
Kedah,8/10/2020,Pendang,2
Kedah,8/10/2020,Baling,6
Kedah,8/10/2020,Padang Terap,0
Kedah,8/10/2020,Langkawi,4
Kedah,8/10/2020,Bandar Baharu,0
Kedah,8/10/2020,Sik,1
Kedah,8/10/2020,Yan,0
Kedah,9/10/2020,Kuala Muda,8
Kedah,9/10/2020,Kota Setar,1208
Kedah,9/10/2020,Kubang Pasu,39
Kedah,9/10/2020,Kulim,4
Kedah,9/10/2020,Pendang,2
Kedah,9/10/2020,Baling,7
Kedah,9/10/2020,Padang Terap,0
Kedah,9/10/2020,Langkawi,4
Kedah,9/10/2020,Bandar Baharu,0
Kedah,9/10/2020,Sik,1
Kedah,9/10/2020,Yan,0
Kedah,10/10/2020,Kuala Muda,6
Kedah,10/10/2020,Kota Setar,1231
Kedah,10/10/2020,Kubang Pasu,40
Kedah,10/10/2020,Kulim,6
Kedah,10/10/2020,Pendang,3
Kedah,10/10/2020,Baling,8
Kedah,10/10/2020,Padang Terap,0
Kedah,10/10/2020,Langkawi,4
Kedah,10/10/2020,Bandar Baharu,0
Kedah,10/10/2020,Sik,1
Kedah,10/10/2020,Yan,2
Kedah,11/10/2020,Kuala Muda,9
Kedah,11/10/2020,Kota Setar,1242
Kedah,11/10/2020,Kubang Pasu,39
Kedah,11/10/2020,Kulim,5
Kedah,11/10/2020,Pendang,2
Kedah,11/10/2020,Baling,14
Kedah,11/10/2020,Padang Terap,0
Kedah,11/10/2020,Langkawi,4
Kedah,11/10/2020,Bandar Baharu,0
Kedah,11/10/2020,Sik,1
Kedah,11/10/2020,Yan,0
Kedah,12/10/2020,Kuala Muda,9
Kedah,12/10/2020,Kota Setar,1246
Kedah,12/10/2020,Kubang Pasu,41
Kedah,12/10/2020,Kulim,5
Kedah,12/10/2020,Pendang,2
Kedah,12/10/2020,Baling,17
Kedah,12/10/2020,Padang Terap,0
Kedah,12/10/2020,Langkawi,4
Kedah,12/10/2020,Bandar Baharu,0
Kedah,12/10/2020,Sik,1
Kedah,12/10/2020,Yan,0
Kedah,13/10/2020,Kuala Muda,8
Kedah,13/10/2020,Kota Setar,1229
Kedah,13/10/2020,Kubang Pasu,38
Kedah,13/10/2020,Kulim,6
Kedah,13/10/2020,Pendang,1
Kedah,13/10/2020,Baling,19
Kedah,13/10/2020,Padang Terap,6
Kedah,13/10/2020,Langkawi,4
Kedah,13/10/2020,Bandar Baharu,0
Kedah,13/10/2020,Sik,0
Kedah,13/10/2020,Yan,1
Kedah,14/10/2020,Kuala Muda,21
Kedah,14/10/2020,Kota Setar,1367
Kedah,14/10/2020,Kubang Pasu,39
Kedah,14/10/2020,Kulim,6
Kedah,14/10/2020,Pendang,2
Kedah,14/10/2020,Baling,30
Kedah,14/10/2020,Padang Terap,0
Kedah,14/10/2020,Langkawi,0
Kedah,14/10/2020,Bandar Baharu,0
Kedah,14/10/2020,Sik,0
Kedah,14/10/2020,Yan,1
Kedah,15/10/2020,Kuala Muda,23
Kedah,15/10/2020,Kota Setar,1195
Kedah,15/10/2020,Kubang Pasu,39
Kedah,15/10/2020,Kulim,6
Kedah,15/10/2020,Pendang,2
Kedah,15/10/2020,Baling,32
Kedah,15/10/2020,Padang Terap,0
Kedah,15/10/2020,Langkawi,0
Kedah,15/10/2020,Bandar Baharu,0
Kedah,15/10/2020,Sik,0
Kedah,15/10/2020,Yan,1
Kedah,16/10/2020,Kuala Muda,23
Kedah,16/10/2020,Kota Setar,1185
Kedah,16/10/2020,Kubang Pasu,39
Kedah,16/10/2020,Kulim,4
Kedah,16/10/2020,Pendang,2
Kedah,16/10/2020,Baling,32
Kedah,16/10/2020,Padang Terap,0
Kedah,16/10/2020,Langkawi,0
Kedah,16/10/2020,Bandar Baharu,0
Kedah,16/10/2020,Sik,0
Kedah,16/10/2020,Yan,1
Kedah,17/10/2020,Kuala Muda,22
Kedah,17/10/2020,Kota Setar,967
Kedah,17/10/2020,Kubang Pasu,39
Kedah,17/10/2020,Kulim,4
Kedah,17/10/2020,Pendang,2
Kedah,17/10/2020,Baling,33
Kedah,17/10/2020,Padang Terap,0
Kedah,17/10/2020,Langkawi,0
Kedah,17/10/2020,Bandar Baharu,1
Kedah,17/10/2020,Sik,0
Kedah,17/10/2020,Yan,1
Kedah,18/10/2020,Kuala Muda,22
Kedah,18/10/2020,Kota Setar,759
Kedah,18/10/2020,Kubang Pasu,36
Kedah,18/10/2020,Kulim,4
Kedah,18/10/2020,Pendang,2
Kedah,18/10/2020,Baling,38
Kedah,18/10/2020,Padang Terap,0
Kedah,18/10/2020,Langkawi,0
Kedah,18/10/2020,Bandar Baharu,1
Kedah,18/10/2020,Sik,0
Kedah,18/10/2020,Yan,1
Kedah,19/10/2020,Kuala Muda,21
Kedah,19/10/2020,Kota Setar,810
Kedah,19/10/2020,Kubang Pasu,27
Kedah,19/10/2020,Kulim,2
Kedah,19/10/2020,Pendang,1
Kedah,19/10/2020,Baling,33
Kedah,19/10/2020,Padang Terap,1
Kedah,19/10/2020,Langkawi,4
Kedah,19/10/2020,Bandar Baharu,1
Kedah,19/10/2020,Sik,0
Kedah,19/10/2020,Yan,0
Kedah,20/10/2020,Kuala Muda,22
Kedah,20/10/2020,Kota Setar,419
Kedah,20/10/2020,Kubang Pasu,35
Kedah,20/10/2020,Kulim,3
Kedah,20/10/2020,Pendang,1
Kedah,20/10/2020,Baling,34
Kedah,20/10/2020,Padang Terap,1
Kedah,20/10/2020,Langkawi,0
Kedah,20/10/2020,Bandar Baharu,1
Kedah,20/10/2020,Sik,0
Kedah,20/10/2020,Yan,0
Kedah,21/10/2020,Kuala Muda,23
Kedah,21/10/2020,Kota Setar,588
Kedah,21/10/2020,Kubang Pasu,20
Kedah,21/10/2020,Kulim,2
Kedah,21/10/2020,Pendang,1
Kedah,21/10/2020,Baling,36
Kedah,21/10/2020,Padang Terap,1
Kedah,21/10/2020,Langkawi,0
Kedah,21/10/2020,Bandar Baharu,1
Kedah,21/10/2020,Sik,0
Kedah,21/10/2020,Yan,0
Kedah,22/10/2020,Kuala Muda,24
Kedah,22/10/2020,Kota Setar,517
Kedah,22/10/2020,Kubang Pasu,19
Kedah,22/10/2020,Kulim,2
Kedah,22/10/2020,Pendang,1
Kedah,22/10/2020,Baling,39
Kedah,22/10/2020,Padang Terap,1
Kedah,22/10/2020,Langkawi,0
Kedah,22/10/2020,Bandar Baharu,1
Kedah,22/10/2020,Sik,0
Kedah,22/10/2020,Yan,0
Kedah,23/10/2020,Kuala Muda,23
Kedah,23/10/2020,Kota Setar,504
Kedah,23/10/2020,Kubang Pasu,17
Kedah,23/10/2020,Kulim,1
Kedah,23/10/2020,Pendang,1
Kedah,23/10/2020,Baling,38
Kedah,23/10/2020,Padang Terap,1
Kedah,23/10/2020,Langkawi,0
Kedah,23/10/2020,Bandar Baharu,1
Kedah,23/10/2020,Sik,0
Kedah,23/10/2020,Yan,0
Kedah,24/10/2020,Kuala Muda,23
Kedah,24/10/2020,Kota Setar,564
Kedah,24/10/2020,Kubang Pasu,18
Kedah,24/10/2020,Kulim,1
Kedah,24/10/2020,Pendang,1
Kedah,24/10/2020,Baling,30
Kedah,24/10/2020,Padang Terap,1
Kedah,24/10/2020,Langkawi,0
Kedah,24/10/2020,Bandar Baharu,1
Kedah,24/10/2020,Sik,0
Kedah,24/10/2020,Yan,0
Kedah,25/10/2020,Kuala Muda,23
Kedah,25/10/2020,Kota Setar,542
Kedah,25/10/2020,Kubang Pasu,16
Kedah,25/10/2020,Kulim,1
Kedah,25/10/2020,Pendang,0
Kedah,25/10/2020,Baling,18
Kedah,25/10/2020,Padang Terap,1
Kedah,25/10/2020,Langkawi,0
Kedah,25/10/2020,Bandar Baharu,1
Kedah,25/10/2020,Sik,0
Kedah,25/10/2020,Yan,0
Kedah,26/10/2020,Kuala Muda,23
Kedah,26/10/2020,Kota Setar,542
Kedah,26/10/2020,Kubang Pasu,16
Kedah,26/10/2020,Kulim,1
Kedah,26/10/2020,Pendang,0
Kedah,26/10/2020,Baling,19
Kedah,26/10/2020,Padang Terap,1
Kedah,26/10/2020,Langkawi,0
Kedah,26/10/2020,Bandar Baharu,3
Kedah,26/10/2020,Sik,0
Kedah,26/10/2020,Yan,0
Kedah,27/10/2020,Kuala Muda,23
Kedah,27/10/2020,Kota Setar,546
Kedah,27/10/2020,Kubang Pasu,16
Kedah,27/10/2020,Kulim,1
Kedah,27/10/2020,Pendang,0
Kedah,27/10/2020,Baling,19
Kedah,27/10/2020,Padang Terap,1
Kedah,27/10/2020,Langkawi,0
Kedah,27/10/2020,Bandar Baharu,3
Kedah,27/10/2020,Sik,0
Kedah,27/10/2020,Yan,0
Kedah,28/10/2020,Kuala Muda,19
Kedah,28/10/2020,Kota Setar,183
Kedah,28/10/2020,Kubang Pasu,13
Kedah,28/10/2020,Kulim,1
Kedah,28/10/2020,Pendang,0
Kedah,28/10/2020,Baling,7
Kedah,28/10/2020,Padang Terap,1
Kedah,28/10/2020,Langkawi,0
Kedah,28/10/2020,Bandar Baharu,6
Kedah,28/10/2020,Sik,0
Kedah,28/10/2020,Yan,0
Kedah,29/10/2020,Kuala Muda,5
Kedah,29/10/2020,Kota Setar,149
Kedah,29/10/2020,Kubang Pasu,14
Kedah,29/10/2020,Kulim,1
Kedah,29/10/2020,Pendang,0
Kedah,29/10/2020,Baling,7
Kedah,29/10/2020,Padang Terap,0
Kedah,29/10/2020,Langkawi,0
Kedah,29/10/2020,Bandar Baharu,8
Kedah,29/10/2020,Sik,0
Kedah,29/10/2020,Yan,0
Kedah,30/10/2020,Kuala Muda,5
Kedah,30/10/2020,Kota Setar,150
Kedah,30/10/2020,Kubang Pasu,15
Kedah,30/10/2020,Kulim,1
Kedah,30/10/2020,Pendang,0
Kedah,30/10/2020,Baling,7
Kedah,30/10/2020,Padang Terap,0
Kedah,30/10/2020,Langkawi,0
Kedah,30/10/2020,Bandar Baharu,9
Kedah,30/10/2020,Sik,0
Kedah,30/10/2020,Yan,0
Kedah,31/10/2020,Kuala Muda,3
Kedah,31/10/2020,Kota Setar,152
Kedah,31/10/2020,Kubang Pasu,17
Kedah,31/10/2020,Kulim,1
Kedah,31/10/2020,Pendang,0
Kedah,31/10/2020,Baling,6
Kedah,31/10/2020,Padang Terap,0
Kedah,31/10/2020,Langkawi,0
Kedah,31/10/2020,Bandar Baharu,9
Kedah,31/10/2020,Sik,0
Kedah,31/10/2020,Yan,0
Kedah,1/11/2020,Kuala Muda,3
Kedah,1/11/2020,Kota Setar,149
Kedah,1/11/2020,Kubang Pasu,17
Kedah,1/11/2020,Kulim,1
Kedah,1/11/2020,Pendang,0
Kedah,1/11/2020,Baling,1
Kedah,1/11/2020,Padang Terap,0
Kedah,1/11/2020,Langkawi,0
Kedah,1/11/2020,Bandar Baharu,9
Kedah,1/11/2020,Sik,0
Kedah,1/11/2020,Yan,0
Kedah,2/11/2020,Kuala Muda,2
Kedah,2/11/2020,Kota Setar,89
Kedah,2/11/2020,Kubang Pasu,6
Kedah,2/11/2020,Kulim,1
Kedah,2/11/2020,Pendang,0
Kedah,2/11/2020,Baling,2
Kedah,2/11/2020,Padang Terap,0
Kedah,2/11/2020,Langkawi,0
Kedah,2/11/2020,Bandar Baharu,9
Kedah,2/11/2020,Sik,0
Kedah,2/11/2020,Yan,0
Kedah,3/11/2020,Kuala Muda,2
Kedah,3/11/2020,Kota Setar,86
Kedah,3/11/2020,Kubang Pasu,8
Kedah,3/11/2020,Kulim,5
Kedah,3/11/2020,Pendang,0
Kedah,3/11/2020,Baling,2
Kedah,3/11/2020,Padang Terap,0
Kedah,3/11/2020,Langkawi,0
Kedah,3/11/2020,Bandar Baharu,9
Kedah,3/11/2020,Sik,1
Kedah,3/11/2020,Yan,0
Kedah,4/11/2020,Kuala Muda,1
Kedah,4/11/2020,Kota Setar,99
Kedah,4/11/2020,Kubang Pasu,12
Kedah,4/11/2020,Kulim,6
Kedah,4/11/2020,Pendang,0
Kedah,4/11/2020,Baling,1
Kedah,4/11/2020,Padang Terap,0
Kedah,4/11/2020,Langkawi,3
Kedah,4/11/2020,Bandar Baharu,13
Kedah,4/11/2020,Sik,4
Kedah,4/11/2020,Yan,0
Kedah,5/11/2020,Kuala Muda,2
Kedah,5/11/2020,Kota Setar,100
Kedah,5/11/2020,Kubang Pasu,13
Kedah,5/11/2020,Kulim,9
Kedah,5/11/2020,Pendang,0
Kedah,5/11/2020,Baling,1
Kedah,5/11/2020,Padang Terap,0
Kedah,5/11/2020,Langkawi,3
Kedah,5/11/2020,Bandar Baharu,13
Kedah,5/11/2020,Sik,5
Kedah,5/11/2020,Yan,0
Kedah,6/11/2020,Kuala Muda,7
Kedah,6/11/2020,Kota Setar,45
Kedah,6/11/2020,Kubang Pasu,16
Kedah,6/11/2020,Kulim,11
Kedah,6/11/2020,Pendang,0
Kedah,6/11/2020,Baling,0
Kedah,6/11/2020,Padang Terap,0
Kedah,6/11/2020,Langkawi,3
Kedah,6/11/2020,Bandar Baharu,12
Kedah,6/11/2020,Sik,5
Kedah,6/11/2020,Yan,0
Kedah,7/11/2020,Kuala Muda,4
Kedah,7/11/2020,Kota Setar,51
Kedah,7/11/2020,Kubang Pasu,14
Kedah,7/11/2020,Kulim,22
Kedah,7/11/2020,Pendang,0
Kedah,7/11/2020,Baling,0
Kedah,7/11/2020,Padang Terap,0
Kedah,7/11/2020,Langkawi,3
Kedah,7/11/2020,Bandar Baharu,7
Kedah,7/11/2020,Sik,5
Kedah,7/11/2020,Yan,0
Kedah,8/11/2020,Kuala Muda,4
Kedah,8/11/2020,Kota Setar,50
Kedah,8/11/2020,Kubang Pasu,17
Kedah,8/11/2020,Kulim,21
Kedah,8/11/2020,Pendang,0
Kedah,8/11/2020,Baling,0
Kedah,8/11/2020,Padang Terap,0
Kedah,8/11/2020,Langkawi,3
Kedah,8/11/2020,Bandar Baharu,4
Kedah,8/11/2020,Sik,5
Kedah,8/11/2020,Yan,0
Kedah,9/11/2020,Kuala Muda,4
Kedah,9/11/2020,Kota Setar,39
Kedah,9/11/2020,Kubang Pasu,18
Kedah,9/11/2020,Kulim,27
Kedah,9/11/2020,Pendang,0
Kedah,9/11/2020,Baling,0
Kedah,9/11/2020,Padang Terap,0
Kedah,9/11/2020,Langkawi,3
Kedah,9/11/2020,Bandar Baharu,4
Kedah,9/11/2020,Sik,5
Kedah,9/11/2020,Yan,0
Kedah,10/11/2020,Kuala Muda,4
Kedah,10/11/2020,Kota Setar,39
Kedah,10/11/2020,Kubang Pasu,19
Kedah,10/11/2020,Kulim,27
Kedah,10/11/2020,Pendang,0
Kedah,10/11/2020,Baling,0
Kedah,10/11/2020,Padang Terap,0
Kedah,10/11/2020,Langkawi,3
Kedah,10/11/2020,Bandar Baharu,4
Kedah,10/11/2020,Sik,5
Kedah,10/11/2020,Yan,0
Kedah,11/11/2020,Kuala Muda,3
Kedah,11/11/2020,Kota Setar,35
Kedah,11/11/2020,Kubang Pasu,20
Kedah,11/11/2020,Kulim,26
Kedah,11/11/2020,Pendang,0
Kedah,11/11/2020,Baling,0
Kedah,11/11/2020,Padang Terap,0
Kedah,11/11/2020,Langkawi,3
Kedah,11/11/2020,Bandar Baharu,4
Kedah,11/11/2020,Sik,5
Kedah,11/11/2020,Yan,0
Kedah,12/11/2020,Kuala Muda,4
Kedah,12/11/2020,Kota Setar,32
Kedah,12/11/2020,Kubang Pasu,16
Kedah,12/11/2020,Kulim,27
Kedah,12/11/2020,Pendang,0
Kedah,12/11/2020,Baling,0
Kedah,12/11/2020,Padang Terap,0
Kedah,12/11/2020,Langkawi,3
Kedah,12/11/2020,Bandar Baharu,4
Kedah,12/11/2020,Sik,5
Kedah,12/11/2020,Yan,0
Kedah,13/11/2020,Kuala Muda,5
Kedah,13/11/2020,Kota Setar,29
Kedah,13/11/2020,Kubang Pasu,16
Kedah,13/11/2020,Kulim,28
Kedah,13/11/2020,Pendang,0
Kedah,13/11/2020,Baling,0
Kedah,13/11/2020,Padang Terap,0
Kedah,13/11/2020,Langkawi,1
Kedah,13/11/2020,Bandar Baharu,1
Kedah,13/11/2020,Sik,5
Kedah,13/11/2020,Yan,0
Kedah,14/11/2020,Kuala Muda,5
Kedah,14/11/2020,Kota Setar,35
Kedah,14/11/2020,Kubang Pasu,16
Kedah,14/11/2020,Kulim,26
Kedah,14/11/2020,Pendang,0
Kedah,14/11/2020,Baling,0
Kedah,14/11/2020,Padang Terap,0
Kedah,14/11/2020,Langkawi,1
Kedah,14/11/2020,Bandar Baharu,1
Kedah,14/11/2020,Sik,2
Kedah,14/11/2020,Yan,0
Kedah,15/11/2020,Kuala Muda,6
Kedah,15/11/2020,Kota Setar,35
Kedah,15/11/2020,Kubang Pasu,16
Kedah,15/11/2020,Kulim,26
Kedah,15/11/2020,Pendang,0
Kedah,15/11/2020,Baling,0
Kedah,15/11/2020,Padang Terap,1
Kedah,15/11/2020,Langkawi,1
Kedah,15/11/2020,Bandar Baharu,1
Kedah,15/11/2020,Sik,2
Kedah,15/11/2020,Yan,0
Kedah,16/11/2020,Kuala Muda,8
Kedah,16/11/2020,Kota Setar,35
Kedah,16/11/2020,Kubang Pasu,20
Kedah,16/11/2020,Kulim,32
Kedah,16/11/2020,Pendang,0
Kedah,16/11/2020,Baling,1
Kedah,16/11/2020,Padang Terap,1
Kedah,16/11/2020,Langkawi,1
Kedah,16/11/2020,Bandar Baharu,1
Kedah,16/11/2020,Sik,2
Kedah,16/11/2020,Yan,0
Kedah,17/11/2020,Kuala Muda,11
Kedah,17/11/2020,Kota Setar,27
Kedah,17/11/2020,Kubang Pasu,11
Kedah,17/11/2020,Kulim,27
Kedah,17/11/2020,Pendang,0
Kedah,17/11/2020,Baling,1
Kedah,17/11/2020,Padang Terap,1
Kedah,17/11/2020,Langkawi,1
Kedah,17/11/2020,Bandar Baharu,1
Kedah,17/11/2020,Sik,4
Kedah,17/11/2020,Yan,0
Kedah,18/11/2020,Kuala Muda,11
Kedah,18/11/2020,Kota Setar,35
Kedah,18/11/2020,Kubang Pasu,8
Kedah,18/11/2020,Kulim,23
Kedah,18/11/2020,Pendang,0
Kedah,18/11/2020,Baling,1
Kedah,18/11/2020,Padang Terap,1
Kedah,18/11/2020,Langkawi,1
Kedah,18/11/2020,Bandar Baharu,1
Kedah,18/11/2020,Sik,4
Kedah,18/11/2020,Yan,0
Kedah,19/11/2020,Kuala Muda,12
Kedah,19/11/2020,Kota Setar,41
Kedah,19/11/2020,Kubang Pasu,7
Kedah,19/11/2020,Kulim,22
Kedah,19/11/2020,Pendang,0
Kedah,19/11/2020,Baling,1
Kedah,19/11/2020,Padang Terap,1
Kedah,19/11/2020,Langkawi,1
Kedah,19/11/2020,Bandar Baharu,1
Kedah,19/11/2020,Sik,4
Kedah,19/11/2020,Yan,0
Kedah,20/11/2020,Kuala Muda,13
Kedah,20/11/2020,Kota Setar,60
Kedah,20/11/2020,Kubang Pasu,11
Kedah,20/11/2020,Kulim,32
Kedah,20/11/2020,Pendang,0
Kedah,20/11/2020,Baling,0
Kedah,20/11/2020,Padang Terap,1
Kedah,20/11/2020,Langkawi,0
Kedah,20/11/2020,Bandar Baharu,1
Kedah,20/11/2020,Sik,2
Kedah,20/11/2020,Yan,0
Kedah,21/11/2020,Kuala Muda,14
Kedah,21/11/2020,Kota Setar,43
Kedah,21/11/2020,Kubang Pasu,6
Kedah,21/11/2020,Kulim,23
Kedah,21/11/2020,Pendang,0
Kedah,21/11/2020,Baling,1
Kedah,21/11/2020,Padang Terap,1
Kedah,21/11/2020,Langkawi,1
Kedah,21/11/2020,Bandar Baharu,0
Kedah,21/11/2020,Sik,4
Kedah,21/11/2020,Yan,0
Kedah,22/11/2020,Kuala Muda,18
Kedah,22/11/2020,Kota Setar,60
