"","Date","State","Cumulative"
"859",2020-09-26,"Terengganu",0
"860",2020-09-27,"Terengganu",0
"861",2020-09-28,"Terengganu",0
"862",2020-09-29,"Terengganu",0
"863",2020-09-30,"Terengganu",0
"864",2020-10-01,"Terengganu",0
"865",2020-10-02,"Terengganu",2
"866",2020-10-03,"Terengganu",2
"867",2020-10-04,"Terengganu",2
"868",2020-10-05,"Terengganu",7
"869",2020-10-06,"Terengganu",7
"870",2020-10-07,"Terengganu",10
"871",2020-10-08,"Terengganu",14
"872",2020-10-09,"Terengganu",15
"873",2020-10-10,"Terengganu",15
"874",2020-10-11,"Terengganu",16
"875",2020-10-12,"Terengganu",16
"876",2020-10-13,"Terengganu",16
"877",2020-10-14,"Terengganu",16
"878",2020-10-15,"Terengganu",16
"879",2020-10-16,"Terengganu",14
"880",2020-10-17,"Terengganu",16
"881",2020-10-18,"Terengganu",14
"882",2020-10-19,"Terengganu",12
"883",2020-10-20,"Terengganu",12
"884",2020-10-21,"Terengganu",9
"885",2020-10-22,"Terengganu",6
"886",2020-10-23,"Terengganu",6
"887",2020-10-24,"Terengganu",6
"888",2020-10-25,"Terengganu",10
"889",2020-10-26,"Terengganu",10
"890",2020-10-27,"Terengganu",11
"891",2020-10-28,"Terengganu",22
"892",2020-10-29,"Terengganu",23
"893",2020-10-30,"Terengganu",23
"894",2020-10-31,"Terengganu",22
"895",2020-11-01,"Terengganu",30
"896",2020-11-02,"Terengganu",29
"897",2020-11-03,"Terengganu",29
"898",2020-11-04,"Terengganu",31
"899",2020-11-05,"Terengganu",30
"900",2020-11-06,"Terengganu",35
"901",2020-11-07,"Terengganu",37
"902",2020-11-08,"Terengganu",33
"903",2020-11-09,"Terengganu",33
"904",2020-11-10,"Terengganu",32
"905",2020-11-11,"Terengganu",21
"906",2020-11-12,"Terengganu",22
"907",2020-11-13,"Terengganu",22
"908",2020-11-14,"Terengganu",20
"909",2020-11-15,"Terengganu",11
"910",2020-11-16,"Terengganu",11
"911",2020-11-17,"Terengganu",12
"912",2020-11-18,"Terengganu",10
"913",2020-11-19,"Terengganu",10
"914",2020-11-20,"Terengganu",8
"915",2020-11-21,"Terengganu",6
"916",2020-11-22,"Terengganu",5
"917",2020-11-23,"Terengganu",5
"918",2020-11-24,"Terengganu",5
"919",2020-11-25,"Terengganu",6
"920",2020-11-26,"Terengganu",7
"921",2020-11-27,"Terengganu",7
"922",2020-11-28,"Terengganu",7
"923",2020-11-29,"Terengganu",8
"924",2020-11-30,"Terengganu",8
"925",2020-09-26,"Pahang",0
"926",2020-09-27,"Pahang",1
"927",2020-09-28,"Pahang",1
"928",2020-09-29,"Pahang",1
"929",2020-09-30,"Pahang",1
"930",2020-10-01,"Pahang",1
"931",2020-10-02,"Pahang",2
"932",2020-10-03,"Pahang",2
"933",2020-10-04,"Pahang",2
"934",2020-10-05,"Pahang",2
"935",2020-10-06,"Pahang",2
"936",2020-10-07,"Pahang",2
"937",2020-10-08,"Pahang",3
"938",2020-10-09,"Pahang",3
"939",2020-10-10,"Pahang",3
"940",2020-10-11,"Pahang",2
"941",2020-10-12,"Pahang",2
"942",2020-10-13,"Pahang",3
"943",2020-10-14,"Pahang",3
"944",2020-10-15,"Pahang",3
"945",2020-10-16,"Pahang",2
"946",2020-10-17,"Pahang",2
"947",2020-10-18,"Pahang",2
"948",2020-10-19,"Pahang",2
"949",2020-10-20,"Pahang",2
"950",2020-10-21,"Pahang",1
"951",2020-10-22,"Pahang",1
"952",2020-10-23,"Pahang",2
"953",2020-10-24,"Pahang",2
"954",2020-10-25,"Pahang",2
"955",2020-10-26,"Pahang",2
"956",2020-10-27,"Pahang",2
"957",2020-10-28,"Pahang",2
"958",2020-10-29,"Pahang",3
"959",2020-10-30,"Pahang",3
"960",2020-10-31,"Pahang",3
"961",2020-11-01,"Pahang",3
"962",2020-11-02,"Pahang",4
"963",2020-11-03,"Pahang",3
"964",2020-11-04,"Pahang",3
"965",2020-11-05,"Pahang",3
"966",2020-11-06,"Pahang",2
"967",2020-11-07,"Pahang",2
"968",2020-11-08,"Pahang",2
"969",2020-11-09,"Pahang",2
"970",2020-11-10,"Pahang",2
"971",2020-11-11,"Pahang",2
"972",2020-11-12,"Pahang",1
"973",2020-11-13,"Pahang",1
"974",2020-11-14,"Pahang",1
"975",2020-11-15,"Pahang",1
"976",2020-11-16,"Pahang",0
"977",2020-11-17,"Pahang",1
"978",2020-11-18,"Pahang",0
"979",2020-11-19,"Pahang",0
"980",2020-11-20,"Pahang",0
"981",2020-11-21,"Pahang",0
"982",2020-11-22,"Pahang",0
"983",2020-11-23,"Pahang",0
"984",2020-11-24,"Pahang",0
"985",2020-11-25,"Pahang",1
"986",2020-11-26,"Pahang",1
"987",2020-11-27,"Pahang",1
"988",2020-11-28,"Pahang",1
"989",2020-11-29,"Pahang",1
"990",2020-11-30,"Pahang",2
"991",2020-09-26,"Kelantan",0
"992",2020-09-27,"Kelantan",0
"993",2020-09-28,"Kelantan",0
"994",2020-09-29,"Kelantan",0
"995",2020-09-30,"Kelantan",2
"996",2020-10-01,"Kelantan",2
"997",2020-10-02,"Kelantan",2
"998",2020-10-03,"Kelantan",4
"999",2020-10-04,"Kelantan",4
"1000",2020-10-05,"Kelantan",4
"1001",2020-10-06,"Kelantan",4
"1002",2020-10-07,"Kelantan",5
"1003",2020-10-08,"Kelantan",5
"1004",2020-10-09,"Kelantan",5
"1005",2020-10-10,"Kelantan",5
"1006",2020-10-11,"Kelantan",5
"1007",2020-10-12,"Kelantan",5
"1008",2020-10-13,"Kelantan",5
"1009",2020-10-14,"Kelantan",3
"1010",2020-10-15,"Kelantan",3
"1011",2020-10-16,"Kelantan",3
"1012",2020-10-17,"Kelantan",1
"1013",2020-10-18,"Kelantan",1
"1014",2020-10-19,"Kelantan",1
"1015",2020-10-20,"Kelantan",1
"1016",2020-10-21,"Kelantan",0
"1017",2020-10-22,"Kelantan",3
"1018",2020-10-23,"Kelantan",3
"1019",2020-10-24,"Kelantan",3
"1020",2020-10-25,"Kelantan",4
"1021",2020-10-26,"Kelantan",4
"1022",2020-10-27,"Kelantan",4
"1023",2020-10-28,"Kelantan",4
"1024",2020-10-29,"Kelantan",4
"1025",2020-10-30,"Kelantan",4
"1026",2020-10-31,"Kelantan",5
"1027",2020-11-01,"Kelantan",5
"1028",2020-11-02,"Kelantan",7
"1029",2020-11-03,"Kelantan",7
"1030",2020-11-04,"Kelantan",8
"1031",2020-11-05,"Kelantan",6
"1032",2020-11-06,"Kelantan",6
"1033",2020-11-07,"Kelantan",6
"1034",2020-11-08,"Kelantan",6
"1035",2020-11-09,"Kelantan",8
"1036",2020-11-10,"Kelantan",18
"1037",2020-11-11,"Kelantan",18
"1038",2020-11-12,"Kelantan",19
"1039",2020-11-13,"Kelantan",24
"1040",2020-11-14,"Kelantan",26
"1041",2020-11-15,"Kelantan",26
"1042",2020-11-16,"Kelantan",28
"1043",2020-11-17,"Kelantan",47
"1044",2020-11-18,"Kelantan",48
"1045",2020-11-19,"Kelantan",63
"1046",2020-11-20,"Kelantan",69
"1047",2020-11-21,"Kelantan",76
"1048",2020-11-22,"Kelantan",83
"1049",2020-11-23,"Kelantan",90
"1050",2020-11-24,"Kelantan",85
"1051",2020-11-25,"Kelantan",92
"1052",2020-11-26,"Kelantan",115
"1053",2020-11-27,"Kelantan",115
"1054",2020-11-28,"Kelantan",129
"1055",2020-11-29,"Kelantan",134
"1056",2020-11-30,"Kelantan",128
